Round: 125 | Move: down  | Time spent: 2.55s | Reached depth: 4 | Max tile: 128 | state: [[2, 0, 0, 0], [0, 0, 4, 8], [0, 4, 16, 8], [128, 64, 32, 2]]
Round: 126 | Move: left  | Time spent: 3.61s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 0, 4, 0], [2, 4, 16, 16], [128, 64, 32, 2]]
Round: 127 | Move: down  | Time spent: 0.52s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 4, 0, 0], [2, 4, 32, 0], [128, 64, 32, 2]]
Round: 128 | Move: left  | Time spent: 5.87s | Reached depth: 4 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 0, 0, 0], [4, 8, 2, 0], [128, 64, 64, 2]]
Round: 129 | Move: down  | Time spent: 0.44s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [2, 2, 0, 0], [4, 8, 2, 0], [128, 128, 2, 0]]
Round: 130 | Move: left  | Time spent: 6.49s | Reached depth: 4 | Max tile: 128 | state: [[0, 2, 0, 0], [2, 2, 0, 0], [4, 8, 0, 0], [128, 128, 4, 0]]
Round: 131 | Move: left  | Time spent: 5.98s | Reached depth: 4 | Max tile: 256 | state: [[2, 0, 2, 0], [4, 0, 0, 0], [4, 8, 0, 0], [256, 4, 0, 0]]
Round: 132 | Move: left  | Time spent: 17.95s | Reached depth: 4 | Max tile: 256 | state: [[4, 0, 0, 2], [4, 0, 0, 0], [4, 8, 0, 0], [256, 4, 0, 0]]
Round: 133 | Move: down  | Time spent: 0.95s | Reached depth: 4 | Max tile: 256 | state: [[4, 2, 0, 0], [4, 2, 0, 0], [4, 8, 0, 0], [256, 4, 0, 0]]
Round: 134 | Move: left  | Time spent: 7.34s | Reached depth: 4 | Max tile: 256 | state: [[0, 0, 0, 4], [4, 4, 0, 0], [8, 8, 0, 0], [256, 4, 0, 0]]
Round: 135 | Move: up    | Time spent: 0.43s | Reached depth: 3 | Max tile: 256 | state: [[4, 0, 0, 0], [8, 0, 2, 0], [16, 0, 0, 0], [256, 4, 0, 0]]
Round: 136 | Move: up    | Time spent: 0.39s | Reached depth: 3 | Max tile: 256 | state: [[4, 4, 2, 0], [8, 0, 0, 0], [16, 0, 0, 0], [256, 0, 2, 0]]
Round: 137 | Move: left  | Time spent: 0.42s | Reached depth: 3 | Max tile: 256 | state: [[4, 4, 4, 0], [8, 0, 0, 0], [16, 2, 0, 0], [256, 0, 0, 0]]
