Round: 274 | Move: right | Time spent: 1.86s | Reached depth: 4
Round: 275 | Move: right | Time spent: 2.66s | Reached depth: 4
Round: 276 | Move: up    | Time spent: 2.59s | Reached depth: 4
Round: 277 | Move: left  | Time spent: 0.62s | Reached depth: 3
Round: 278 | Move: left  | Time spent: 2.21s | Reached depth: 4
Round: 279 | Move: left  | Time spent: 3.08s | Reached depth: 4
Round: 280 | Move: left  | Time spent: 27.21s | Reached depth: 4
Round: 281 | Move: up    | Time spent: 1.51s | Reached depth: 4
Round: 282 | Move: left  | Time spent: 2.39s | Reached depth: 4
Round: 283 | Move: left  | Time spent: 3.43s | Reached depth: 4
Round: 284 | Move: down  | Time spent: 0.30s | Reached depth: 3
Round: 285 | Move: down  | Time spent: 2.51s | Reached depth: 4
Round: 286 | Move: left  | Time spent: 2.47s | Reached depth: 4
Round: 287 | Move: down  | Time spent: 0.30s | Reached depth: 3
Round: 288 | Move: left  | Time spent: 3.32s | Reached depth: 4
Round: 289 | Move: down  | Time spent: 0.97s | Reached depth: 4
Round: 290 | Move: down  | Time spent: 0.68s | Reached depth: 4
Round: 291 | Move: down  | Time spent: 3.70s | Reached depth: 4
Round: 292 | Move: down  | Time spent: 2.13s | Reached depth: 4
Round: 293 | Move: left  | Time spent: 2.20s | Reached depth: 4
Round: 294 | Move: up    | Time spent: 3.24s | Reached depth: 4
Round: 295 | Move: left  | Time spent: 2.14s | Reached depth: 4
Round: 296 | Move: left  | Time spent: 2.51s | Reached depth: 4
Round: 297 | Move: down  | Time spent: 3.57s | Reached depth: 4
Round: 298 | Move: down  | Time spent: 0.67s | Reached depth: 4
Round: 299 | Move: down  | Time spent: 2.55s | Reached depth: 4
Round: 300 | Move: right | Time spent: 0.54s | Reached depth: 3
Round: 301 | Move: up    | Time spent: 4.28s | Reached depth: 4
Round: 302 | Move: left  | Time spent: 0.49s | Reached depth: 3
Round: 303 | Move: down  | Time spent: 1.35s | Reached depth: 3
Round: 304 | Move: right | Time spent: 0.38s | Reached depth: 3
Round: 305 | Move: down  | Time spent: 0.43s | Reached depth: 3
Round: 306 | Move: down  | Time spent: 3.40s | Reached depth: 4
Round: 307 | Move: right | Time spent: 3.24s | Reached depth: 4
Round: 308 | Move: down  | Time spent: 0.32s | Reached depth: 3
Round: 309 | Move: up    | Time spent: 4.88s | Reached depth: 4
Round: 310 | Move: down  | Time spent: 0.43s | Reached depth: 3
Round: 311 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 312 | Move: down  | Time spent: 0.33s | Reached depth: 3
Round: 313 | Move: down  | Time spent: 3.04s | Reached depth: 4
Round: 314 | Move: up    | Time spent: 2.38s | Reached depth: 4
Round: 315 | Move: down  | Time spent: 2.57s | Reached depth: 4
Round: 316 | Move: down  | Time spent: 2.51s | Reached depth: 4
Round: 317 | Move: right | Time spent: 28.74s | Reached depth: 4
Round: 318 | Move: right | Time spent: 2.55s | Reached depth: 4
Round: 319 | Move: up    | Time spent: 4.77s | Reached depth: 4
Round: 320 | Move: right | Time spent: 0.36s | Reached depth: 3
Round: 321 | Move: left  | Time spent: 0.50s | Reached depth: 3
Round: 322 | Move: up    | Time spent: 2.72s | Reached depth: 4
Round: 323 | Move: up    | Time spent: 7.24s | Reached depth: 4
Round: 324 | Move: left  | Time spent: 1.87s | Reached depth: 4
Round: 325 | Move: left  | Time spent: 2.19s | Reached depth: 4
Round: 326 | Move: down  | Time spent: 1.41s | Reached depth: 4
Round: 327 | Move: down  | Time spent: 2.04s | Reached depth: 4
Round: 328 | Move: left  | Time spent: 2.23s | Reached depth: 4
Round: 329 | Move: up    | Time spent: 2.30s | Reached depth: 4
Round: 330 | Move: down  | Time spent: 1.68s | Reached depth: 4
Round: 331 | Move: left  | Time spent: 1.10s | Reached depth: 4
Round: 332 | Move: left  | Time spent: 1.42s | Reached depth: 4
Round: 333 | Move: up    | Time spent: 1.33s | Reached depth: 4
Round: 334 | Move: left  | Time spent: 0.87s | Reached depth: 4
Round: 335 | Move: left  | Time spent: 0.69s | Reached depth: 4
Round: 336 | Move: down  | Time spent: 1.11s | Reached depth: 4
Round: 337 | Move: left  | Time spent: 1.00s | Reached depth: 4
Round: 338 | Move: left  | Time spent: 3.58s | Reached depth: 4
Round: 339 | Move: up    | Time spent: 1.36s | Reached depth: 4
Round: 340 | Move: left  | Time spent: 1.61s | Reached depth: 4
Round: 341 | Move: up    | Time spent: 1.26s | Reached depth: 4
Round: 342 | Move: up    | Time spent: 2.01s | Reached depth: 4
Round: 343 | Move: down  | Time spent: 1.67s | Reached depth: 4
Round: 344 | Move: left  | Time spent: 1.43s | Reached depth: 4
Round: 345 | Move: left  | Time spent: 1.06s | Reached depth: 4
Round: 346 | Move: left  | Time spent: 1.88s | Reached depth: 4
Round: 347 | Move: left  | Time spent: 2.27s | Reached depth: 4
Round: 348 | Move: up    | Time spent: 1.45s | Reached depth: 4
Round: 349 | Move: up    | Time spent: 1.67s | Reached depth: 4
Round: 350 | Move: left  | Time spent: 1.55s | Reached depth: 4
